Record_ID,Activity_Year,LEI,Institution_Name,State,County,Census_Tract,Action_Taken_Code,Loan_Type,Loan_Purpose,Loan_Amount,Applicant_Income,Debt_To_Income,Combined_LTV,Rate_Spread,Applicant_Race,Applicant_Ethnicity,Applicant_Sex,Minority_Status,Denial_Reason_1,AUS_Result
WI24-0021,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,4,Conventional,Home improvement,375000,128300,<30%,90.9,,Black or African American,Not Hispanic or Latino,Not provided,Minority,,Not applicable
WI24-0022,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,2,Conventional,Home improvement,287500,146300,41%-<46%,82.4,,Black or African American,Not Hispanic or Latino,Female,Minority,,Ineligible
WI24-0023,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,3,VA-guaranteed,Home purchase,362500,154300,30%-<36%,89.4,,Asian,Not Hispanic or Latino,Joint,Minority,,Accept
WI24-0024,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,3,Conventional,Home improvement,260000,184800,<30%,75.8,,Black or African American,Not Hispanic or Latino,Female,Minority,Insufficient cash,Refer/Eligible
WI24-0025,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,3,VA-guaranteed,Home improvement,847500,137300,46%-<50%,66.2,,Black or African American,Not Hispanic or Latino,Male,Minority,Insufficient cash,Approve/Eligible
WI24-0026,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,1,Conventional,Home improvement,742500,52000,30%-<36%,64.7,1.21,White,Not Hispanic or Latino,Not provided,Non-Minority,,Approve/Eligible
WI24-0027,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,1,Conventional,Home improvement,927500,121800,30%-<36%,94.0,0.19,American Indian or Alaska Native,Not Hispanic or Latino,Male,Minority,,Ineligible
WI24-0028,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,1,VA-guaranteed,Cash-out refinancing,212500,56750,50%-60%,85.8,0.58,White,Hispanic or Latino,Female,Minority,,Approve/Eligible
WI24-0029,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,4,FHA-insured,Refinancing,400000,156000,50%-60%,63.6,,White,Not Hispanic or Latino,Male,Non-Minority,,Accept
WI24-0030,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000400,5,FHA-insured,Cash-out refinancing,507500,101000,46%-<50%,95.5,,White,Hispanic or Latino,Joint,Minority,,Approve/Eligible
WI24-0031,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,3,Conventional,Cash-out refinancing,750000,122800,50%-60%,84.0,,Asian,Not Hispanic or Latino,Joint,Minority,Insufficient cash,Ineligible
WI24-0032,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,3,VA-guaranteed,Home purchase,557500,149750,50%-60%,85.3,,American Indian or Alaska Native,Not Hispanic or Latino,Not provided,Minority,Collateral,Approve/Eligible
WI24-0033,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,1,VA-guaranteed,Cash-out refinancing,632500,176300,<30%,63.7,0.5,Asian,Not Hispanic or Latino,Joint,Minority,,Not applicable
WI24-0034,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,1,VA-guaranteed,Cash-out refinancing,482500,127000,41%-<46%,90.3,1.15,Asian,Not Hispanic or Latino,Female,Minority,,Refer/Eligible
WI24-0035,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,1,Conventional,Home improvement,552500,189300,50%-60%,84.2,1.02,American Indian or Alaska Native,Not Hispanic or Latino,Female,Minority,,Ineligible
WI24-0036,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,4,VA-guaranteed,Home improvement,887500,205750,30%-<36%,81.4,,Black or African American,Not Hispanic or Latino,Joint,Minority,,Accept
WI24-0037,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001202,2,Conventional,Cash-out refinancing,212500,70750,46%-<50%,83.3,,Black or African American,Not Hispanic or Latino,Male,Minority,,Approve/Eligible
WI24-0038,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010200,3,VA-guaranteed,Home improvement,542500,87000,36%-<41%,85.8,,Black or African American,Not Hispanic or Latino,Female,Minority,,Not applicable
WI24-0039,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55025001202,1,Conventional,Home improvement,312500,185300,<30%,68.8,1.73,White,Not Hispanic or Latino,Not provided,Non-Minority,,Refer/Eligible
WI24-0040,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010200,1,Conventional,Home improvement,697500,200750,<30%,86.6,0.75,White,Not Hispanic or Latino,Female,Non-Minority,,Accept
WI24-0041,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010200,1,VA-guaranteed,Home purchase,357500,156200,<30%,75.3,1.09,Asian,Not Hispanic or Latino,Female,Minority,,Approve/Eligible
WI24-0042,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010200,4,FHA-insured,Cash-out refinancing,892500,168200,30%-<36%,71.9,,White,Not Hispanic or Latino,Male,Non-Minority,,Approve/Eligible
WI24-0043,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010200,5,Conventional,Home purchase,350000,133800,50%-60%,62.6,,White,Not Hispanic or Latino,Not provided,Non-Minority,,Not applicable
WI24-0044,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,3,Conventional,Cash-out refinancing,327500,161800,<30%,82.7,,White,Hispanic or Latino,Female,Minority,Debt-to-income ratio,Accept
WI24-0045,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,1,FHA-insured,Cash-out refinancing,677500,82800,46%-<50%,77.3,0.27,Asian,Not Hispanic or Latino,Female,Minority,,Refer/Eligible
WI24-0046,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,1,FHA-insured,Refinancing,745000,77800,50%-60%,86.3,0.66,American Indian or Alaska Native,Not Hispanic or Latino,Not provided,Minority,,Refer/Eligible
WI24-0047,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,1,Conventional,Home purchase,622500,83750,36%-<41%,96.1,0.62,White,Hispanic or Latino,Joint,Minority,,Ineligible
WI24-0048,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,4,VA-guaranteed,Refinancing,277500,129800,<30%,71.8,,Black or African American,Not Hispanic or Latino,Male,Minority,,Not applicable
WI24-0049,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000300,6,VA-guaranteed,Home purchase,237500,203000,41%-<46%,62.7,,White,Hispanic or Latino,Joint,Minority,,Not applicable
WI24-0050,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,1,FHA-insured,Refinancing,512500,148000,36%-<41%,75.0,0.68,White,Hispanic or Latino,Joint,Minority,,Not applicable
WI24-0051,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,1,VA-guaranteed,Home improvement,602500,175000,<30%,83.2,1.02,White,Not Hispanic or Latino,Female,Non-Minority,,Approve/Eligible
WI24-0052,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,1,Conventional,Cash-out refinancing,577500,123000,41%-<46%,69.6,1.1,White,Not Hispanic or Latino,Male,Non-Minority,,Ineligible
WI24-0053,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,1,FHA-insured,Cash-out refinancing,250000,195300,46%-<50%,67.7,0.73,Asian,Not Hispanic or Latino,Female,Minority,,Approve/Eligible
WI24-0054,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,4,Conventional,Cash-out refinancing,370000,45200,36%-<41%,68.5,,White,Hispanic or Latino,Not provided,Minority,,Not applicable
WI24-0055,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Dane County,55025001101,8,VA-guaranteed,Home improvement,297500,94750,41%-<46%,79.6,,White,Hispanic or Latino,Male,Minority,,Not applicable
WI24-0056,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010100,3,FHA-insured,Home purchase,767500,112000,36%-<41%,89.2,,White,Hispanic or Latino,Male,Minority,,Accept
WI24-0057,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010100,1,Conventional,Refinancing,235000,150200,46%-<50%,72.6,0.82,White,Not Hispanic or Latino,Joint,Non-Minority,,Refer/Eligible
WI24-0058,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010100,1,VA-guaranteed,Refinancing,830000,182000,50%-60%,86.1,0.71,White,Hispanic or Latino,Male,Minority,,Ineligible
WI24-0059,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010100,2,VA-guaranteed,Home improvement,402500,108800,46%-<50%,71.1,,Asian,Not Hispanic or Latino,Not provided,Minority,,Ineligible
WI24-0060,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Brown County,55009010100,5,FHA-insured,Home improvement,907500,181750,41%-<46%,75.1,,White,Hispanic or Latino,Male,Minority,,Ineligible
WI24-0061,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000500,1,FHA-insured,Home improvement,932500,178000,41%-<46%,92.5,1.2,White,Hispanic or Latino,Female,Minority,,Accept
WI24-0062,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000500,1,VA-guaranteed,Refinancing,577500,177800,<30%,64.7,0.22,White,Hispanic or Latino,Female,Minority,,Accept
WI24-0063,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000500,1,FHA-insured,Refinancing,457500,121200,36%-<41%,68.1,0.44,White,Not Hispanic or Latino,Male,Non-Minority,,Not applicable
WI24-0064,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Racine County,55101000500,8,VA-guaranteed,Home purchase,360000,66800,30%-<36%,78.3,,White,Not Hispanic or Latino,Female,Non-Minority,,Approve/Eligible
WI24-0065,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000402,1,VA-guaranteed,Home improvement,737500,177750,36%-<41%,77.3,0.83,Asian,Not Hispanic or Latino,Joint,Minority,,Refer/Eligible
WI24-0066,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000402,1,VA-guaranteed,Cash-out refinancing,567500,76000,30%-<36%,80.8,0.63,Asian,Not Hispanic or Latino,Not provided,Minority,,Not applicable
WI24-0067,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000402,1,VA-guaranteed,Refinancing,767500,136200,50%-60%,62.5,0.31,White,Hispanic or Latino,Joint,Minority,,Refer/Eligible
WI24-0068,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000402,6,VA-guaranteed,Cash-out refinancing,597500,119200,<30%,83.1,,White,Not Hispanic or Latino,Not provided,Non-Minority,,Not applicable
WI24-0069,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000301,1,Conventional,Refinancing,297500,103750,30%-<36%,94.6,0.65,Asian,Not Hispanic or Latino,Male,Minority,,Accept
WI24-0070,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000301,1,FHA-insured,Cash-out refinancing,362500,156300,30%-<36%,86.9,0.91,White,Hispanic or Latino,Not provided,Minority,,Ineligible
WI24-0071,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Waukesha County,55133000301,1,VA-guaranteed,Home improvement,907500,70300,36%-<41%,95.7,0.86,White,Not Hispanic or Latino,Female,Non-Minority,,Not applicable
WI24-0072,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000400,1,VA-guaranteed,Cash-out refinancing,672500,139300,41%-<46%,69.1,0.56,Asian,Not Hispanic or Latino,Not provided,Minority,,Refer/Eligible
